,Stock,Market cap (*000)
0,PTT,1128238.35
1,PTTEP,593512.82
2,GULF,560257.91
3,EA,317982.5
4,GPSC,193856.39
5,TOP,109651.5
6,EGCO,90815.21
7,BGRIM,85375.98
8,BANPU,77810.25
9,IRPC,75607.35
10,RATCH,65250.0
11,GUNKUL,53295.19
12,BPP,49373.25
13,TTW,44688.0
14,BCP,42684.62
15,CKP,41053.38
16,SPRC,39456.71
17,BCPG,35018.48
18,TPIPP,32928.0
19,ACE,31749.12
20,ESSO,27513.82
21,SUPER,24614.53
22,EGATIF,23983.25
23,SGP,23708.43
24,PTG,22378.0
25,SPCG,18898.64
26,BAFS,15937.4
27,WHAUP,15529.5
28,EASTW,13392.99
29,SSP,13067.72
30,LANNA,11024.99
31,PRIME,6679.54
32,SCG,6167.59
33,EP,5408.54
34,7UP,5348.77
35,AIE,5232.29
36,TSE,5040.16
37,AI,4654.99
38,AGE,4641.09
39,SUSCO,3674.02
40,SCN,2760.0
41,ACC,2659.25
42,WP,2592.5
43,MDX,2591.98
44,DEMCO,2439.35
45,TAE,2180.0
46,QTC,2148.88
47,RPC,1957.0
48,BRRGIF,1872.5
49,SCI,1695.0
50,AKR,1500.96
51,TCC,1464.48
52,GREEN,1308.84
53,SOLAR,1197.07
54,ABPIF,1194.0
55,SKE,937.44
56,UBE,5.0
57,ETC,4.0
58,ETC,4.0
59,SUPEREIF,2.0
60,CV,1.0
61,CV,1.0
62,CV,1.0
