,Stock,Market cap (*000)
0,KTC,158567.55
1,MTC,109710.0
2,JMT,90428.38
3,SAWAD,76553.25
4,BAM,68196.09
5,AEONTS,49750.0
6,ASK,23884.92
7,BYD,23754.58
8,THANI,23671.46
9,XPG,18821.03
10,BFIT,14332.43
11,KGI,13543.99
12,CHAYO,11635.2
13,ASP,7369.8
14,MST,6792.69
15,TK,5800.0
16,CGH,5647.82
17,AMANAH,5232.36
18,S11,3831.25
19,MFC,3391.62
20,FSS,3139.58
21,ECL,3104.81
22,UOBKH,3014.69
23,TNITY,2765.82
24,KCAR,2100.0
25,GBX,1666.29
26,PL,1574.79
27,FNS,1549.43
28,ASAP,1524.6
29,IFS,1519.98
30,ML,1480.07
31,MICRO,4.0
32,GL,3.0
33,GL,3.0
34,GL,3.0
35,GL,3.0
36,SAK,2.0
37,NCAP,1.0
