,Stock,Market cap (*000)
0,CPF,204947.57
1,MINT,161766.21
2,OSP,106633.12
3,CBG,104000.0
4,TU,88278.59
5,TFMAMA,70886.36
6,M,48346.1
7,RBF,31000.0
8,PB,30825.0
9,TVO,25066.94
10,TFG,21785.66
11,KTIS,16906.8
12,OISHI,16312.5
13,KSL,15347.61
14,ICHI,13650.0
15,ASIAN,12455.54
16,SAUCE,11160.0
17,TKN,10971.0
18,SNP,8133.05
19,SSC,7977.01
20,SAPPE,7652.41
21,PRG,7038.65
22,HTC,6732.18
23,APURE,5941.32
24,PM,5563.68
25,LST,5166.0
26,TIPCO,4536.25
27,BRR,4011.77
28,SUN,3902.23
29,ZEN,3480.0
30,GLOCON,2953.35
31,CFRESH,2799.84
32,SST,2737.57
33,SSF,2726.99
34,TC,2706.0
35,BR,2630.73
36,W,2539.41
37,SFP,2436.0
38,CPI,2417.12
39,KBS,2208.0
40,SORKON,1617.0
41,MALEE,1545.6
42,CM,1013.85
43,CHOTI,941.25
44,SNNP,5.0
45,F&D,1.0
46,F&D,1.0
47,F&D,1.0
