,Stock,Market cap (*000)
0,ADVANC,695898.64
1,INTUCH,248511.39
2,JTS,187211.18
3,TRUE,164171.52
4,DIF,147779.99
5,DTAC,110695.16
6,JASIF,85600.0
7,JMART,73959.85
8,JAS,29387.43
9,FORTH,26640.0
10,SYNEX,21395.87
11,SIS,12957.35
12,THCOM,9536.09
13,HUMAN,7752.0
14,ITEL,7275.44
15,AIT,7014.91
16,SDC,6207.25
17,SKY,6039.41
18,SAMART,5988.7
19,SAMTEL,5098.5
20,ILINK,4539.33
21,MFEC,4017.23
22,INET,3675.31
23,INSET,3480.4
24,SYMC,2948.85
25,ALT,2649.41
26,MSC,2160.0
27,SVOA,2036.16
28,TWZ,1985.79
29,PT,1618.17
30,AMR,4.0
31,BLISS,3.0
32,JR,2.0
33,JR,2.0
