,Stock,Market cap (*000)
0,CPNREIT,51617.48
1,FTREIT,36454.31
2,WHART,36171.67
3,LPF,32721.96
4,IMPACT,22682.25
5,QHPF,8527.9
6,CPTGF,8171.15
7,GVREIT,7944.3
8,AIMIRT,7741.25
9,FUTUREPF,7519.84
10,HREIT,7393.18
11,BOFFICE,6124.34
12,POPF,5779.66
13,CPNCG,5162.33
14,LHSC,4685.42
15,TPRIME,4571.62
16,TTLPF,4104.0
17,LHHOTEL,3953.71
18,DREIT,3913.25
19,B-WORK,3761.76
20,AMATAR,2863.12
21,MJLF,2772.0
22,MIPF,2584.0
23,PPF,2581.86
24,HPF,2152.6
25,SRIPANWA,1911.59
26,WHABT,1828.1
27,LHPF,1782.0
28,QHHR,1780.8
29,CTARAF,1744.0
30,GAHREIT,1535.62
31,LUXF,1365.67
32,SIRIP,1360.0
33,M-II,1333.0
34,TLHPF,1298.6
35,SSPF,1244.15
36,KPNPF,1161.0
37,BKKCP,1040.0
38,SSTRT,929.69
39,SHREIT,818.58
40,TIF1,787.5
41,ERWPF,753.71
42,MNIT2,460.15
43,M-PAT,420.0
44,QHOP,390.25
45,M-STOR,364.8
46,MNRF,311.75
47,MIT,280.8
48,TNPF,276.76
49,MNIT,223.56
50,URBNPF,185.76
51,TU-PF,105.27
52,INETREIT,5.0
53,ALLY,3.0
54,GROREIT,2.0
55,GROREIT,2.0
56,GROREIT,2.0
57,GROREIT,2.0
58,AIMCG,1.0
