,Stock,Market cap (*000)
0,CPN,247962.0
1,AWC,157440.0
2,LH,110534.85
3,WHA,49623.49
4,SPALI,47147.75
5,FPT,34093.38
6,AP,32717.35
7,PSH,29763.67
8,ORI,28207.92
9,AMATA,24265.0
10,QH,24000.21
11,SF,23877.51
12,MBK,21839.87
13,SIRI,18458.45
14,BLAND,17548.15
15,SC,16421.44
16,GLAND,13389.65
17,S,13159.14
18,ROJNA,12829.93
19,NUSA,11177.1
20,LALIN,9619.99
21,U,9206.5
22,PLAT,7616.0
23,NOBLE,7052.48
24,AMATAV,6919.0
25,LPN,6847.24
26,SENA,6613.42
27,UV,6385.83
28,ANAN,5624.44
29,NNCL,5079.67
30,A,4998.0
31,PF,4862.64
32,RML,4255.93
33,CGD,3802.42
34,J,3734.86
35,NVD,3313.44
36,MK,3295.44
37,PRIN,3050.03
38,AQ,2559.74
39,EVER,2330.3
40,ESTAR,2310.23
41,NCH,2141.89
42,JCK,1882.95
43,BROCK,1845.0
44,RICHY,1842.82
45,CMC,1666.28
46,MJD,1583.16
47,CI,1173.26
48,SAMCO,1110.31
49,WIN,864.16
50,PRECHA,544.32
51,APEX,5.0
52,APEX,5.0
53,ASW,4.0
54,PEACE,3.0
55,BRI,2.0
56,BRI,2.0
57,BRI,2.0
58,BRI,2.0
59,BRI,2.0
